id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,9.207 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.883 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
78,14 Herculis b,58,8.053 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,9.207 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.883 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
103,14 Herculis b,58,8.053 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,9.207 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.883 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
124,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
128,14 Herculis b,58,8.053 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,9.207 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.883 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
149,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
150,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
151,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
152,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
153,14 Herculis b,58,8.053 Jupiters,6.61935,2002
154,16 Cygni B b,69,1.78 Jupiters,6.215,1996
155,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
156,18 Delphini b,249,9.207 Jupiters,5.51048,2008
157,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
158,24 Bootis b,313,0.883 Jupiters,5.59,2018
159,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
160,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
161,2M0437 b,419,4 Jupiters,16.186,2021
162,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
163,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
164,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
165,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
166,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
167,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
168,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
169,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
170,42 Draconis b,296,3.88 Jupiters,4.8262,2008
171,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
172,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
173,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
174,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
175,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
176,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
177,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
178,14 Herculis b,58,8.053 Jupiters,6.61935,2002
179,16 Cygni B b,69,1.78 Jupiters,6.215,1996
180,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
181,18 Delphini b,249,9.207 Jupiters,5.51048,2008
182,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
183,24 Bootis b,313,0.883 Jupiters,5.59,2018
184,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
185,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
186,2M0437 b,419,4 Jupiters,16.186,2021
187,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
188,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
189,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
190,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
191,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
192,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
193,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
194,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
195,42 Draconis b,296,3.88 Jupiters,4.8262,2008
196,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
197,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
198,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
199,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
200,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
201,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
202,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
203,14 Herculis b,58,8.053 Jupiters,6.61935,2002
204,16 Cygni B b,69,1.78 Jupiters,6.215,1996
205,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
206,18 Delphini b,249,9.207 Jupiters,5.51048,2008
207,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
208,24 Bootis b,313,0.883 Jupiters,5.59,2018
209,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
210,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
211,2M0437 b,419,4 Jupiters,16.186,2021
212,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
213,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
214,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
215,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
216,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
217,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
218,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
219,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
220,42 Draconis b,296,3.88 Jupiters,4.8262,2008
221,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
222,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
223,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
224,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
225,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
226,BD+55 362 b,171,0.72 Jupiters,9.38,2021
227,BD+60 1417 b,147,15 Jupiters,9.374,2021
228,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
229,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
230,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
231,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
232,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
233,CD Ceti b,28,3.95 Earths,13.95,2020
234,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
235,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
236,CHXR 73 b,621,12.569 Jupiters,,2006
237,CI Tauri b,515,11.6 Jupiters,13.642,2019
238,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
239,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
240,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
241,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
242,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
243,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
244,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
245,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
246,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
247,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
248,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
249,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
